input sentence,translation
bob read a book.,POSS WHO FUTURE FINISH SCL IX NOT BUY FUTURE
"the cop told my friend, ""make sure you keep an eye on him overnight.""",# NO DCL SCL THAT BOOK QM REALLY BUT WHO TO/UNTIL # IF QM WHO fs- VERY GROUP/TOGETHER SAME NONE/NOTHING QM FINISH
who owns that big dog?,REALLY SCL SCL # SD NOW NOT HAVE WHO BUOY 1 QM AND # ALL
"no, i don't like pineapple cream cheese. i prefer lox.",SCL BUY WHO ARRIVE ARRIVE WHY MUST # SALE NOW DCL REALLY POSS QM CAR HAVE THAT CAR FOR WHO NOT SCL THAT WHO LOOK LOOK QM DIFFERENT # OR NOT REALLY BUT FUTURE IX SAME THAT SCL DCL NOT IX FUTURE FINISH WHO SCL WITH SCL BUOY CAR IX
when did the friends go camping?,TEACHER NOT LIKE WORK NOT QM fs- TO FOR CAR WHO WORK QM WHO NOT WHY QM FINISH  FINISH MUST  BUY GOOD/THANK-YOU TO/UNTIL SCL WHY WHO IX MOTHER BUY PLAID  HOUSE THAT  ON # WHEN TO/UNTIL POSS NEW # DOG_2 NOT RAIN BUT IN POSS NAME POSS FATHER DCL FATHER HOUSE fs- CREAM+CHEESE FOR NOW FATHER ARRIVE WHO NOW WHO  CAR
"finally, he said we were ready.  he set everything up.",MOTHER LIKE DRIVE REALLY WHY WHY QM POSS MUST fs- DONNA REALLY STILL FOR FOR SCL DCL
bob frequently gives his sweetheart roses.,LOOK FINISH ARRIVE WHY IX HAVE
"i haven't yet paid the rent, i don't yet know what i should i do.",LOOK MOVIE FINISH READ CAR FOR FUTURE POSS NOT
the friends have not played frisbee.,POSS fs- TO fs- LOX THAT FATHER QM DCL DCL IX NOT LIKE # OK FUTURE GIFT DEAF FUTURE JOHN POSS CAR IX ARRIVE # OK # NO FOR fs- GRUNT ARRIVE
when did your friend start driving?,SCL # IF DEAF CAR NOT LIKE QM
it's still a necessity to control how you emit the waste properly.,fs- SUE WHERE LOOK WHY PERSON POSS WHY REALLY NONE PEOPLE LOOK FUTURE IX REALLY SCL IX CAR WHY DIFFERENT fs- VERY NOT LIKE REALLY THAT WHY SAME THAT CAR NOT # OK NOT MUST
i noticed my sister acting strange.,NOW ARRIVE WORK BICYCLE NOW POSS MOTHER BUY TOMORROW QM QM fs- MARY
i volunteer to help other organizations.,ONE FINISH FUTURE WHO FINISH NOT WHY QM IN REALLY WHY DCL FUTURE QM CAR HAVE SCL POSS IX REALLY IX LOOK
john got mary and drove her to work.,fs- FINISH FUTURE FINISH CAR WHERE IN IX THINK DCL NOW POSS DEAF NOT # OR  BUY PLAID  SCL WHERE IX WORK DEAF DCL ICL REALLY DRIVE JOHN FATHER NONE/NOTHING IX KNOW WHY QM  DCL SCL IN   PEOPLE # HS CAR  SCL GIVE DCL   TO/UNTIL fs-   DEAF DEAF JOHN  PEOPLE FOR SHOW PEOPLE PEOPLE DCL LOOK MOTHER GIVE WHO
what is bob reading?,POSS NAME FINISH fs- CREAM+CHEESE BUY MOTHER READ WHY WHY WHY DCL WHY POSS ARRIVE POSS DEAF REALLY WHY DEAF IX MUST
did mother already walk to the store?,MUST GO WHERE WHO WHO
"in the event of no snow, my trip has to be cancelled.",SOMETHING/ONE NOT FEEL DCL NOT REASON SCL WHY HAVE FINISH BUOY REALLY DCL ON NOT NOT BUY QM WHY
